time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2018-01-07 12:00:00,25.8,9.6,36.0,,,,0.0,,1010.6,,
2018-01-08 12:00:00,24.6,8.5,36.0,,,50.0,3.6,,1012.6,,
2018-01-09 03:00:00,18.0,13.5,75.0,,,50.0,3.6,,1019.2,,
2018-01-09 12:00:00,23.8,12.1,48.0,,,50.0,3.6,,1013.9,,
2018-01-10 03:00:00,17.6,12.1,70.0,,,90.0,3.6,,1020.4,,
2018-01-10 12:00:00,26.0,12.1,42.0,,,50.0,3.6,,1014.0,,
2018-01-11 12:00:00,28.0,14.6,44.0,,,50.0,3.6,,1012.7,,
2018-01-12 03:00:00,22.4,11.5,50.0,,,50.0,3.6,,1016.9,,
2018-01-12 12:00:00,27.8,10.5,34.0,,,50.0,3.6,,1012.5,,
2018-01-14 03:00:00,22.6,10.1,45.0,,,140.0,3.6,,1014.7,,
2018-01-14 12:00:00,28.2,11.3,35.0,,,90.0,3.6,,1010.1,,
2018-01-16 12:00:00,27.6,11.6,37.0,,,360.0,3.6,,1010.3,,
2018-01-17 03:00:00,22.2,14.8,63.0,,,230.0,3.6,,1015.9,,
2018-01-18 03:00:00,19.8,14.2,70.0,,,320.0,3.6,,1018.8,,
2018-01-18 12:00:00,26.2,12.3,42.0,,,50.0,3.6,,1010.6,,
2018-01-19 03:00:00,20.6,13.3,63.0,,,230.0,3.6,,1020.7,,
2018-01-19 12:00:00,26.0,11.4,40.0,,,50.0,3.6,,1012.7,,
2018-01-20 03:00:00,21.8,9.3,45.0,,,70.0,3.6,,1016.2,,
2018-01-21 03:00:00,21.8,14.4,63.0,,,360.0,3.6,,1018.3,,
2018-01-21 12:00:00,25.0,14.8,53.0,,,50.0,3.6,,1011.1,,
2018-01-22 03:00:00,20.0,15.8,77.0,,,140.0,3.6,,1016.7,,
2018-01-22 12:00:00,26.0,16.8,57.0,,,70.0,3.6,,1008.7,,
2018-01-25 03:00:00,19.8,8.5,48.0,,,320.0,3.6,,1014.5,,
2018-01-25 12:00:00,26.2,12.6,43.0,,,360.0,3.6,,1008.6,,
2018-01-26 03:00:00,20.4,9.6,50.0,,,70.0,3.6,,1013.9,,
2018-01-28 03:00:00,18.6,13.9,74.0,,,50.0,3.6,,1014.8,,
2018-01-29 03:00:00,21.6,16.1,71.0,,,140.0,3.6,,1015.2,,
2018-01-29 12:00:00,26.8,15.8,51.0,,,50.0,3.6,,1011.6,,
2018-01-30 03:00:00,22.2,10.4,47.0,,,50.0,3.6,,1014.7,,
2018-01-30 12:00:00,27.0,14.4,46.0,,,50.0,3.6,,1012.7,,
2018-01-31 03:00:00,23.0,16.8,68.0,,,50.0,3.6,,1016.7,,
2018-01-31 12:00:00,27.6,14.9,46.0,,,140.0,3.6,,1012.6,,
2018-02-01 03:00:00,23.6,9.2,40.0,,,320.0,3.6,,1016.6,,
2018-02-02 03:00:00,18.2,11.5,65.0,,,50.0,3.6,,1016.0,,
2018-02-03 03:00:00,21.2,9.1,46.0,,,230.0,3.6,,1016.0,,
2018-02-03 12:00:00,29.0,16.2,46.0,,,50.0,3.6,,1011.3,,
2018-02-04 12:00:00,28.2,13.7,41.0,,,90.0,3.6,,1010.9,,
2018-02-05 12:00:00,27.8,15.8,48.0,,,140.0,3.6,,1012.5,,
2018-02-06 03:00:00,24.2,11.2,44.0,,,140.0,3.6,,1017.3,,
2018-02-06 12:00:00,27.8,17.9,55.0,,,140.0,3.6,,1011.5,,
2018-02-07 03:00:00,20.8,14.9,69.0,,,320.0,3.6,,1016.2,,
2018-02-07 12:00:00,22.8,13.3,55.0,,,320.0,3.6,,1014.7,,
2018-02-09 12:00:00,27.2,8.1,30.0,,,360.0,3.6,,1010.0,,
2018-02-10 03:00:00,21.4,12.3,56.0,,,90.0,3.6,,1016.2,,
2018-02-10 12:00:00,26.0,16.8,57.0,,,140.0,3.6,,1011.6,,
2018-02-11 03:00:00,20.0,12.5,62.0,,,180.0,3.6,,1016.5,,
2018-02-12 03:00:00,21.8,16.3,71.0,,,140.0,3.6,,1018.3,,
2018-02-12 12:00:00,28.0,13.9,42.0,,,180.0,3.6,,1012.5,,
